ValueDate,STTHH,VaR,SVaR,IRsensi,IRsensi1M,IRsensi1Y,IRSensi2Y,IRSensi1w,IRSensi10Y,IRSensi5y,BasisSensiByCurrencyByPillar[EUR][1W],BasisSensiByCurrencyByPillar[EUR][1M],BasisSensiByCurrencyByPillar[EUR][3M],BasisSensiByCurrencyByPillar[EUR][1Y],BasisSensiByCurrencyByPillar[EUR][10Y],STTHH_limMaxValue,VaR_limMaxValue,SVaR_limMaxValue,IRsensi_limMaxValue,IRsensi1M_limMaxValue,IRsensi1Y_limMaxValue,IRSensi2Y_limMaxValue,IRSensi1w_limMaxValue,IRSensi10Y_limMaxValue,IRSensi5y_limMaxValue,BasisSensiByCurrencyByPillar[EUR][1W]_limMaxValue,BasisSensiByCurrencyByPillar[EUR][1M]_limMaxValue,BasisSensiByCurrencyByPillar[EUR][3M]_limMaxValue,BasisSensiByCurrencyByPillar[EUR][1Y]_limMaxValue,BasisSensiByCurrencyByPillar[EUR][10Y]_limMaxValue,STTHH_limMinValue,VaR_limMinValue,SVaR_limMinValue,IRsensi_limMinValue,IRsensi1M_limMinValue,IRsensi1Y_limMinValue,IRSensi2Y_limMinValue,IRSensi1w_limMinValue,IRSensi10Y_limMinValue,IRSensi5y_limMinValue,BasisSensiByCurrencyByPillar[EUR][1W]_limMinValue,BasisSensiByCurrencyByPillar[EUR][1M]_limMinValue,BasisSensiByCurrencyByPillar[EUR][3M]_limMinValue,BasisSensiByCurrencyByPillar[EUR][1Y]_limMinValue,BasisSensiByCurrencyByPillar[EUR][10Y]_limMinValue
2024-07-25,5917,89630,0,-54535,-46274,8544,-75893,7694,-85144,-32381,24399,96245,-31091,-66421,82798,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-26,-6327,39360,0,92829,49877,-26902,-84741,-75935,12952,-24857,60837,-10181,-18337,91140,-14660,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-27,-97329,-65879,0,-91759,51531,-44518,-13115,11307,17768,-56387,-23945,-66976,-61080,-4097,-92110,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-28,56397,91073,0,74074,51775,-19030,-69718,86248,-51016,-53992,54873,60410,8740,68592,-71410,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-29,-19806,26219,0,67533,-58947,-36319,21097,-25304,-46238,-45960,-83013,31255,-58395,6241,71905,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-30,58093,43973,0,40245,40684,81187,12500,-51918,-10261,-90483,98775,74456,-85043,63639,44785,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-31,30880,23018,0,84332,31530,-13414,89711,-87348,44244,-76216,43513,-75118,83092,-28981,-42368,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-01,52122,-56202,0,57129,-64162,-28810,-20948,-73522,-98636,6361,-56497,66885,-83872,-6404,15874,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-02,-44456,-5759,0,-84658,95250,9813,-88202,-74185,89712,48670,-15592,25191,-67800,-27680,45102,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-03,-49389,-55199,0,-64718,46479,55078,-81536,64176,56651,97073,-14251,92830,-82717,-37940,32802,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-04,96948,91465,0,66478,-3307,4799,87407,-51882,70649,4924,58481,25334,-88737,85089,58976,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-05,-23287,50192,0,-64154,84338,4527,64097,-98920,69813,17436,32885,48896,86631,7768,19308,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-06,-2990,27845,0,3547,47806,19941,78515,-96547,4263,-37620,63916,-78711,20376,-98303,-59614,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-07,-73147,13049,0,6697,-48694,-93287,54162,54014,62147,-95050,48103,-86378,89162,-13813,-22023,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-08,30009,-17470,0,-93722,92659,-39162,26251,-61977,-87671,29047,11902,-69387,-38007,44075,-16560,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-09,77569,-20989,0,24129,-48217,-57450,-42890,-3740,-38240,-59798,50778,-95147,11923,-94723,9104,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-10,-35880,2465,0,-83759,-53044,53910,73870,91980,-90671,-13742,-87813,61246,45919,22789,-18712,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-11,17523,81093,0,-91598,21546,22711,-54684,-96022,81681,8626,-17227,63195,-97151,37365,28405,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-12,-49627,18106,0,18249,-76270,-38915,39240,-64587,-10963,-55329,-59344,-49349,85554,89545,-32325,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-13,-95027,20520,0,-48698,17168,5663,-42256,-47778,13144,24903,-69460,7057,-26491,82376,71962,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-14,48754,31456,0,76024,-99490,-68267,-53671,-28661,82691,90188,26714,60872,99642,-53537,-81208,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-15,69454,-81613,0,-84282,1995,-71834,-19939,33259,-16319,47732,-93828,-13435,-54356,-18751,10315,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-16,-78694,40629,0,-88327,63204,-66121,41818,31938,22280,26973,-72633,-69077,92751,47546,-22847,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-17,72125,-87473,0,69350,-45609,94813,-56385,-27908,84836,48681,-68054,89453,-31949,-82369,86233,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-18,-24594,3720,0,-51436,-11543,-79455,-46610,-78066,-14479,46566,-30371,-89093,63367,33149,-18109,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-19,93490,-58664,0,-71516,47620,52311,-14312,-80845,97139,65246,-10406,48661,12823,-75393,83068,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-20,-21554,38277,0,30188,-6516,57421,6088,-69258,70453,-54518,-14319,41762,-29842,58607,24708,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-21,64658,-81038,0,-2037,-27504,-27078,83635,-97888,-91291,72970,-62454,73746,-49405,-16992,66759,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-22,-81839,26243,0,-36468,37296,-8272,21465,7220,-29249,-80657,-93430,13393,-58054,-52187,11668,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-23,36619,-90449,0,-12456,36272,-681,-35794,-35331,19883,-59216,-29849,9175,-21810,-11373,-78445,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-24,8408,-73759,0,-77729,-49945,-15970,53115,9795,-50318,-76468,68709,97941,40788,59456,-9195,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-25,-17955,76035,0,3885,-55418,-27296,-36115,60345,84285,-98185,-1157,-76464,57365,-64511,17528,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-26,74814,66908,0,-31106,1344,87760,36704,-18986,70925,-94346,99948,82958,-46074,88339,-75656,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-27,39750,-37276,0,5048,-93655,-56656,71956,6771,94398,71127,-64140,93577,51685,47259,-39682,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-28,62456,41283,0,30029,-156,-43303,-18753,-2240,-3640,-16163,43228,43486,963,-69072,-58950,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-29,90327,-99110,0,-41990,-29008,16466,98892,47498,67695,92768,19252,-16497,-95620,53237,-63270,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-30,30936,-19351,0,77946,-94118,27605,32435,93242,-59637,20618,-71032,-82429,77348,69841,-74554,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-31,-57289,60313,0,-40791,68190,-61035,80321,73319,-78100,99748,-50735,-21646,-28860,-8425,-6707,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-01,-88432,-52451,0,54203,97180,81178,82949,89337,41585,-18957,-16643,64923,-77840,26803,-8657,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-02,-81059,43854,0,-82873,55411,8687,-68956,-13758,91809,48793,29752,-65681,-51046,-99260,81501,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-03,-54621,-54043,0,-82885,72785,74981,76591,871,-81161,75459,48074,74749,-16702,850,-19717,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-04,54492,519,0,-89398,49249,-33480,-87461,62399,85664,-48007,96085,10324,-30700,79686,38913,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-05,76024,48745,0,-69932,29521,90581,-6534,-61812,-11763,-15207,-45202,80789,70874,-45315,-67806,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-06,-56009,57663,0,-63341,11730,93628,57028,-95701,-90349,2626,38350,73836,48215,-65785,18567,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-07,-6494,-61066,0,-62590,-28630,-4448,-43547,30041,-17418,14928,-59108,76888,32238,96805,-64820,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-08,19441,-84463,0,59791,-49710,16406,15914,-60040,10958,-6318,23682,-12163,7333,36698,52348,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-09,-4376,55044,0,-68085,90318,-80759,61703,82922,-91826,-4244,-15613,96029,-29979,-7198,91130,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-10,66109,55809,0,-63345,-34907,57896,-37466,1780,62839,-5741,-84098,-78765,-47896,-8520,-37767,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-11,15644,28548,0,13560,-84476,37172,8220,-19123,53314,-47941,-21376,-86603,56724,42148,-20599,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-12,-20895,66800,0,84994,13689,57192,99201,29907,1727,-1697,-31258,45980,-27430,-19710,-4996,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-13,45926,-37291,0,-86965,-2204,88811,-62969,-14780,-89953,-47678,-60438,-93023,-97798,-4511,85719,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-14,-86854,-63087,0,-84686,62227,-98143,-4876,-75284,42553,37752,18556,-66782,-72112,-50183,32564,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-15,-64399,-10567,0,22245,-37285,81499,45359,18289,-52819,-33370,-50252,-92587,9055,34382,39476,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-16,-45459,96980,0,-26258,34640,-70468,-58265,5405,-36980,-18414,64327,8384,-99135,-35105,-44037,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-17,-48624,70206,0,-16324,16183,-98115,-74703,-10867,-32519,-82940,-21497,95950,38120,65351,-346,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-18,76259,63252,0,-67342,64248,-96023,60028,-95602,32678,-24670,40988,19916,29015,-19162,-45675,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-19,37728,-2469,0,64475,-38659,35842,-97586,-50006,-37215,-81739,92213,71398,13505,21760,5646,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-20,55426,34741,0,93864,82298,61119,-36148,80954,-56569,42148,-36418,-5016,2931,-38920,60873,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-21,-2014,76665,0,31163,29803,-62868,-16875,-53363,42887,19765,74065,-35978,-37287,51537,-99544,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-22,-77526,-1112,0,71533,-40676,-41406,-15216,-83900,-96989,24740,-55154,-46871,93247,-16900,-38791,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-23,20892,-965,0,77038,-60075,-39144,29857,-42666,-68825,-34103,-70226,88587,-69834,80852,4393,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-24,-40044,93751,0,-63132,40224,7527,37396,51883,13204,-66996,-79312,-91880,-50800,16634,845,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-25,-93808,86864,0,-5597,70699,-55267,-8308,-3019,-6084,-22167,63278,16426,-32902,71245,-90273,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-26,17716,-63469,0,23948,3126,-19624,66003,60944,-44942,-59942,-86766,70590,-16689,-68728,70011,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-27,83864,-75399,0,-35925,-65013,62702,50771,14889,80554,-17484,90909,26190,11080,-28936,51534,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-28,-96511,59218,0,10759,24155,-10381,10680,31207,-68595,-18852,29179,58593,99204,-18035,-32720,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-29,88828,-18509,0,-80764,-93148,-47872,-20538,35938,-92406,14952,-70942,37025,76121,-54470,35541,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-30,41277,-27891,0,47827,71721,-62405,-14837,-18869,13705,26713,-55254,97370,67858,44869,45954,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-10-01,-61006,58419,0,72235,-86003,-82461,21640,11727,-95447,7188,-28271,11468,9210,50240,-52885,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-10-02,-35942,13245,0,-40557,-10015,20221,23932,-6614,-50544,-28977,-66365,38808,-50849,-75166,-11933,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-10-03,89598,-97759,0,-58378,-39202,7394,47930,-33986,71403,-44538,-18089,66683,-10620,90688,81439,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-10-04,-23916,22173,0,-7437,94621,1595,60278,81438,5183,-21826,-80443,29148,81380,50097,92959,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-10-05,-305,-34267,0,31478,65633,-58240,-72853,-29937,-34645,86215,-6403,-16775,-13061,-61196,6358,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-10-06,-60650,-85492,0,-57586,6003,91140,99351,-49672,-51429,-87397,2768,1914,15348,8049,-73556,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-10-07,74253,-51621,0,72393,47342,-88752,95263,79737,-38892,-15481,76774,-65117,-72191,12903,-42404,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-10-08,-81352,-78352,0,-98660,24897,-18744,86324,48821,-34981,34845,-54775,51966,98773,-14878,-28315,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-10-09,42120,32574,0,88488,1632,-26927,82892,-53590,11522,-79129,-98372,68989,63163,-20529,-39854,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-10-10,-27565,-81678,0,21038,-69221,26131,-95903,-42950,-84969,25908,80276,-36176,71282,-41357,-74111,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-10-11,-70363,-15252,0,-9684,-5675,-81448,29786,95588,1894,33079,-26180,-15186,-1579,-83392,37167,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-10-12,68434,88066,0,-35981,98824,48951,9783,37202,79245,-95144,-78679,9205,13564,-17956,73302,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-10-13,2588,77913,0,70793,-57141,85625,20076,-4205,-54665,61379,52043,-67955,36675,55376,-95922,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-10-14,-97533,99884,0,-33262,11769,-3732,5083,-27249,-80023,-8804,-85608,9283,-87361,-81795,62696,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-10-15,15037,-79268,0,-10529,-58219,-73707,18581,39731,42339,-28062,31881,79154,-83432,55866,24381,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
