ValueDate,stranaNodeName,STTHH,VaR,SVaR,IRsensi,IRsensi1M,IRsensi1Y,IRSensi2Y,IRSensi1w,IRSensi10Y,IRSensi5y,BasisSensiByCurrencyByPillar[EUR][1W],BasisSensiByCurrencyByPillar[EUR][1M],BasisSensiByCurrencyByPillar[EUR][3M],BasisSensiByCurrencyByPillar[EUR][1Y],BasisSensiByCurrencyByPillar[EUR][10Y],STTHH_limMaxValue,VaR_limmaxValue,SVaR_limMaxValue,IRsensi_limMaxValue,IRsensi1M_limMaxValue,IRsensi1Y_limMaxValue,IRSensi2Y_limMaxValue,IRSensi1w_limMaxValue,IRSensi10Y_limMaxValue,IRSensi5y_limMaxValue,BasisSensiByCurrencyByPillar[EUR][1W]_limMaxValue,BasisSensiByCurrencyByPillar[EUR][1M]_limMaxValue,BasisSensiByCurrencyByPillar[EUR][3M]_limMaxValue,BasisSensiByCurrencyByPillar[EUR][1Y]_limMaxValue,BasisSensiByCurrencyByPillar[EUR][10Y]_limMaxValue,STTHH_limMinValue,VaR_limMinValue,SVaR_limMinValue,IRsensi_limMinValue,IRsensi1M_limMinValue,IRsensi1Y_limMinValue,IRSensi2Y_limMinValue,IRSensi1w_limMinValue,IRSensi10Y_limminalue,IRSensi5y_limMinValue,BasisSensiByCurrencyByPillar[EUR][1W]_limMinValue,BasisSensiByCurrencyByPillar[EUR][1M]_limMinValue,BasisSensiByCurrencyByPillar[EUR][3M]_limMinValue,BasisSensiByCurrencyByPillar[EUR][1Y]_limMinValue,BasisSensiByCurrencyByPillar[EUR][10Y]_limMinValue
2024-06-17,a,-33009,-13119,3.272727273,-77353,-98599,-81415,24389,77613,9106,25208,30012,-65447,-23698,-15898,16494,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-06-18,a,-76392,62086,3.290909091,-84333,-48971,-86611,89754,-90832,75735,-94271,-11806,-29709,88272,45411,53481,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-06-19,a,-35453,-48239,3.309090909,-20216,44361,-3766,-56358,-52314,53270,91549,29388,24012,-99839,-75852,-73496,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-06-20,a,-62454,-87794,3.327272727,-52503,30469,37672,-89211,-6857,28869,72858,-73381,16586,-85235,-70652,86027,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-06-21,a,38267,-76140,3.345454545,-36893,35332,-58117,11329,-9950,-40149,60904,-80955,62396,-60445,5764,28504,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-06-22,a,9105,-33656,3.363636364,27266,-20933,-13087,-74213,-14545,-9828,-58452,-64747,-788,25072,92379,-66536,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-06-23,a,70830,81888,3.381818182,-48664,68681,92453,-58995,-82613,-22111,10545,-9061,2063,-59005,-16722,-61658,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-06-24,a,42824,84198,3.4,92990,-70116,83530,8801,95738,91153,97628,44603,20673,-71524,34141,57505,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-06-25,a,87596,-25307,3.418181818,28550,-70489,-18347,-20821,67975,-48050,69416,48524,52908,5931,11838,35343,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-06-26,a,-77850,-77881,3.436363636,-31522,85001,-97132,23875,-90716,-49359,30279,90161,-96586,62425,82244,89204,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-06-27,a,-65661,87048,3.454545455,98583,-59816,10029,-87353,56580,38486,-91020,34637,50413,58824,45874,-13815,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-06-28,a,-79862,31404,3.472727273,35209,-59351,14629,48759,-24834,75211,-17394,50533,84754,-8366,-69599,-14903,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-06-29,a,-54058,-43207,3.490909091,-77192,9101,55117,-85332,-38239,-40228,-7950,59501,54086,90427,43527,-749,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-06-30,a,-61754,30130,3.509090909,-99858,-33113,98749,-58506,7503,44461,-19487,-42150,-64276,-53483,-9861,92655,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-01,a,13523,-91727,3.527272727,-25116,94906,-44221,-59342,-4440,4220,-56975,-59145,-74922,-95834,19493,26702,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-02,a,-912,24394,3.545454545,4214,-5120,18753,80734,-700,-16169,-77281,-79331,-20906,-55824,77809,14916,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-03,a,-48286,55742,3.563636364,86480,31180,46005,-56387,67736,25448,55349,-25804,78259,12117,-65744,34770,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-04,a,-66559,-12178,3.581818182,-83752,37402,81002,-97559,-13839,65497,64049,7185,83323,83136,25173,-80382,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-05,a,66308,-90177,3.6,-9770,-53936,31146,66571,-97655,-13074,14693,34275,-29917,2289,10064,5314,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-06,a,-99905,-30985,3.618181818,63975,2522,-34941,-28316,-45918,-19556,-46812,77388,-45596,-69371,28862,-51799,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-07,a,-8803,83761,3.636363636,48573,-26157,39256,71769,31834,53783,-21017,50811,-44482,-65802,-43632,-11383,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-08,a,70151,49209,3.654545455,-75997,17747,56884,76275,11535,96746,66879,78393,-19838,-22633,-92568,40268,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-09,a,71247,91343,3.672727273,-83328,-89646,65477,24582,-46455,61172,-14089,36276,39114,21294,80923,-72776,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-10,a,34560,-40634,3.690909091,-64343,51436,-65966,-4495,-55438,-6566,90291,-42387,-1218,-4029,83525,73025,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-11,a,-63383,5225,3.709090909,29120,83144,10104,-91290,-65861,-44662,50843,-90533,49707,-13541,-3504,-55416,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-12,a,-27690,57657,3.727272727,32210,-32539,-24612,96065,-48972,-52599,56370,-38422,65382,60657,74752,-75373,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-13,a,69310,-93867,3.745454545,56513,65858,20895,-95376,65780,78046,-53540,46086,5408,93110,24721,25066,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-14,a,92286,-86576,3.763636364,63024,73311,34415,31156,66055,-8479,6729,-89718,-69480,50160,85704,85195,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-15,a,82572,-93381,3.781818182,-39478,-7331,45369,-83940,68774,-30542,-78013,90671,-95628,-24776,93310,91233,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-16,a,-41939,-80887,3.8,80443,94833,-84131,88023,7786,-26692,-42250,32173,79179,24530,23105,-32559,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-17,a,99784,37260,3.818181818,23947,-45877,15449,-67288,81897,24089,-95880,30135,3926,33907,44534,-49142,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-18,a,-26482,12018,3.836363636,-92019,-65672,-75307,-57497,-93288,70149,-64394,55633,17524,28585,-11841,-3364,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-19,a,66146,-98968,3.854545455,62800,-34873,89064,-72274,44718,-72622,32100,-92135,-59057,7867,73102,-15949,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-20,a,78005,16250,3.872727273,-83323,-77449,-39937,63282,51815,-16637,23866,49646,-49698,97726,-30945,-98940,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-21,a,-8505,-51001,3.890909091,-13669,76681,3596,15618,-54516,8233,1558,52377,-67143,-64307,-79689,-32955,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-22,a,-69066,72992,3.909090909,-7353,-32542,-42967,68406,64879,-9413,90945,37784,-70045,21184,-99824,-28135,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-23,a,96830,-73771,3.927272727,81538,96134,24912,52588,50544,77,40353,-87889,-7452,37338,-73338,-16000,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-24,a,-6777,3305,3.945454545,-37481,-80659,-63465,-94848,-24406,14279,-70810,52626,48260,-72915,63518,35531,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-25,a,-85520,-46727,3.963636364,-86935,30163,51744,12709,-57307,47320,6803,-12071,-69224,-17746,23009,14672,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-26,a,-98830,-90199,3.981818182,-11144,27544,-82120,12681,42872,-78536,42902,6938,4769,94757,-23752,-18181,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-27,a,-80549,20528,4,-22793,-32534,-64868,-11035,-50325,-83608,-92903,99593,24247,-33330,85174,-39246,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-28,a,-80380,-33152,4.018181818,92815,-49298,-63875,-25585,-16391,-57725,-77558,-83481,48547,52453,83155,-58202,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-29,a,97427,-91043,4.036363636,88028,-25549,-48585,69877,42139,64704,-27144,28184,-58720,80321,31079,96390,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-30,a,25997,-52622,4.054545455,-3117,20859,-47772,91012,-86521,46700,-7736,78678,29125,90998,-95779,19200,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-07-31,a,-13365,42178,4.072727273,40676,-59646,7883,55430,2646,-66033,-51433,-38367,64111,44321,73342,11684,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-01,a,-36201,89521,4.090909091,-99582,50528,62821,-49287,62928,-7355,31707,-20973,90630,1941,79064,76971,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-02,a,-27337,-93408,4.109090909,55786,34657,23758,-21221,-78357,-83364,16800,-92381,78672,-9219,2652,27718,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-03,a,-9997,98007,4.127272727,52184,-62460,27456,65442,46197,24306,-48512,-64811,34233,47034,-92187,-19403,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-04,a,26871,-64411,4.145454545,-97910,38980,4959,73942,49000,-1074,69758,2075,-50559,28197,-55228,-33448,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-05,a,-19449,-88256,4.163636364,17073,70251,-93476,-70114,-24106,6768,-68224,-15578,96126,-23670,71949,-60189,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-06,a,23166,-18211,4.181818182,92333,-99507,-13493,9229,34879,17589,-70040,60880,-83714,94958,-38381,82152,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-07,a,34662,-63894,4.2,52309,98349,17850,-22962,-72628,7312,58542,-43079,-67977,55753,91083,-11934,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-08,a,-39878,-58232,4.218181818,98975,-9864,46908,28998,-76177,-60266,69928,28317,-21424,-400,37561,23101,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-09,a,-6825,50717,4.236363636,-82215,-76717,-97478,5083,-33795,31025,-44483,49260,58561,-60006,-51164,40185,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-10,a,-24998,47734,4.254545455,17807,-94512,78122,3328,41426,48355,-1976,53214,33322,-62597,-33043,-16062,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-11,a,-52102,-46855,4.272727273,-94290,16426,-27637,-26626,-88294,71049,24942,-96982,24078,-40028,21396,96447,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-12,a,-65063,434,4.290909091,-25770,57113,-75563,-29556,-67435,6547,10687,-39975,-48914,-32148,-72635,-9865,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-13,a,35233,6444,4.309090909,-51190,9924,77029,-26259,-23919,3223,59361,10139,16292,90614,38415,67888,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-14,a,-96191,40488,4.327272727,-98290,43744,63722,-82922,-99444,99718,-16345,18245,-23514,49382,-47991,86987,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-15,a,-26202,-77396,4.345454545,-30033,-29735,-34145,19932,2123,30281,50873,95054,65595,57513,72637,12602,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-16,a,-60631,-2185,4.363636364,85908,34147,3027,-72253,-37356,-10619,-61659,93458,-22172,-77792,719,-97565,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-17,a,-4039,61403,4.381818182,-11730,-18471,68989,33042,-65069,29484,-62382,-21556,76601,-58921,20455,-45660,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-18,a,-94628,-69637,4.4,-49635,-86683,83564,48462,-87938,29675,-95957,84070,19621,76121,44111,19146,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-19,a,38847,-40264,4.418181818,-30966,85836,-71976,83109,70882,-24773,27938,-99091,76735,-16516,31817,38897,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-20,a,-27414,76760,4.436363636,27950,-47606,51896,60032,71522,-73198,-39755,-90464,47181,-40281,23095,15734,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-21,a,81471,63353,4.454545455,-26356,82612,-34589,-46797,-1123,-31780,-78888,-2516,71695,14394,59276,34853,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-22,a,18048,-31519,4.472727273,11880,63086,-52811,-99403,-23338,-6358,21946,72011,-62612,-93845,4756,-31815,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-23,a,-50892,-77955,4.490909091,-42541,33835,-5593,-22584,-93169,7207,94062,64362,59495,-68396,9982,-54408,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-24,a,-45162,-55234,4.509090909,-15221,89162,-1009,78829,-41741,51368,-10895,20259,44933,-53962,34250,-9775,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-25,a,39964,70134,4.527272727,-88185,95703,-9196,50981,95673,-32315,-7298,-25814,-3732,25966,-57903,39709,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-26,a,78731,-90339,4.545454545,85632,63803,25019,-5621,-55907,44770,-38848,-88055,48406,-67516,66719,-60885,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-27,a,76991,-36239,4.563636364,-65961,-37720,30286,-19413,-97952,12703,5235,80717,361,-21859,-7780,75501,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-28,a,578,-9263,4.581818182,72464,-30771,90429,-50531,-757,-91116,-10270,-89259,-57329,50723,67643,27505,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-29,a,-58380,30771,4.6,-74953,6136,50879,-75003,-38987,39709,5598,-59455,-98511,7613,-49851,-30971,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-30,a,-55751,-18845,4.618181818,-18699,24344,-55974,-32926,-81305,-4565,55976,33917,28726,-37017,-13140,-77927,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-08-31,a,-73228,-68762,4.636363636,-1754,5180,41047,-62306,75678,78876,-54738,-19923,17267,80056,11805,89102,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-01,a,-17218,52692,4.654545455,-44663,414,15814,2212,-91382,-64363,89450,-46905,-6848,39421,-38800,38527,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-02,a,52401,78951,4.672727273,-19796,-97381,-53522,-39951,39927,94650,-63,-10746,1722,-86286,-6242,39437,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-03,a,16540,51256,4.690909091,36730,30506,55273,-28314,336,-18826,-50798,67824,48286,41469,-17978,-24199,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
2024-09-04,a,44814,66072,4.709090909,89813,34755,1442,99010,73589,-75935,-92648,-52891,43996,-66802,-60090,-30540,,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
